"County","FIPS","Year","Measure Type","Variable","Value"
"New Haven County","09009","2003","Number","Housing Permits",1826
"New Haven County","09009","2003","Percent","Housing Permits",17.5
"New Haven County","09009","2004","Number","Housing Permits",2534
"New Haven County","09009","2004","Percent","Housing Permits",21.4
"New Haven County","09009","2005","Number","Housing Permits",2251
"New Haven County","09009","2005","Percent","Housing Permits",18.9
"New Haven County","09009","2006","Number","Housing Permits",1654
"New Haven County","09009","2006","Percent","Housing Permits",17.9
"New Haven County","09009","2007","Number","Housing Permits",1256
"New Haven County","09009","2007","Percent","Housing Permits",16.2
"New Haven County","09009","2008","Number","Housing Permits",920
"New Haven County","09009","2008","Percent","Housing Permits",17.6
"New Haven County","09009","2009","Number","Housing Permits",509
"New Haven County","09009","2009","Percent","Housing Permits",13.4
"New Haven County","09009","2010","Number","Housing Permits",1019
"New Haven County","09009","2010","Percent","Housing Permits",25.9
"New Haven County","09009","2011","Number","Housing Permits",689
"New Haven County","09009","2011","Percent","Housing Permits",21.7
"New Haven County","09009","2012","Number","Housing Permits",669
"New Haven County","09009","2012","Percent","Housing Permits",14.3
"New Haven County","09009","2013","Number","Housing Permits",815
"New Haven County","09009","2013","Percent","Housing Permits",15
"New Haven County","09009","2014","Number","Housing Permits",1140
"New Haven County","09009","2014","Percent","Housing Permits",21.4
"New Haven County","09009","2015","Number","Housing Permits",1161
"New Haven County","09009","2015","Percent","Housing Permits",19.1
"New Haven County","09009","2016","Number","Housing Permits",918
"New Haven County","09009","2016","Percent","Housing Permits",16.7
"New Haven County","09009","2017","Number","Housing Permits",750
"New Haven County","09009","2017","Percent","Housing Permits",16.5
"New London County","09011","1990","Number","Housing Permits",765
"New London County","09011","1990","Percent","Housing Permits",9.5
"New London County","09011","1991","Number","Housing Permits",710
"New London County","09011","1991","Percent","Housing Permits",9.2
"New London County","09011","1992","Number","Housing Permits",761
"New London County","09011","1992","Percent","Housing Permits",9.2
"New London County","09011","1993","Number","Housing Permits",832
"New London County","09011","1993","Percent","Housing Permits",9.3
"New London County","09011","1994","Number","Housing Permits",1126
"New London County","09011","1994","Percent","Housing Permits",11.9
"New London County","09011","1995","Number","Housing Permits",757
"New London County","09011","1995","Percent","Housing Permits",9
"New London County","09011","1996","Number","Housing Permits",851
"New London County","09011","1996","Percent","Housing Permits",10.9
"New London County","09011","1997","Number","Housing Permits",825
"New London County","09011","1997","Percent","Housing Permits",8.8
"New London County","09011","1998","Number","Housing Permits",972
"New London County","09011","1998","Percent","Housing Permits",8.2
"New London County","09011","1999","Number","Housing Permits",879
"New London County","09011","1999","Percent","Housing Permits",8.3
"New London County","09011","2000","Number","Housing Permits",814
"New London County","09011","2000","Percent","Housing Permits",8.7
"New London County","09011","2001","Number","Housing Permits",782
"New London County","09011","2001","Percent","Housing Permits",8.4
"New London County","09011","2002","Number","Housing Permits",956
"New London County","09011","2002","Percent","Housing Permits",9.8
"New London County","09011","2003","Number","Housing Permits",1222
"New London County","09011","2003","Percent","Housing Permits",11.7
"New London County","09011","2004","Number","Housing Permits",1348
"New London County","09011","2004","Percent","Housing Permits",11.4
"New London County","09011","2005","Number","Housing Permits",1208
"New London County","09011","2005","Percent","Housing Permits",10.2
"New London County","09011","2006","Number","Housing Permits",1006
"New London County","09011","2006","Percent","Housing Permits",10.9
"New London County","09011","2007","Number","Housing Permits",718
"New London County","09011","2007","Percent","Housing Permits",9.3
"New London County","09011","2008","Number","Housing Permits",363
"New London County","09011","2008","Percent","Housing Permits",7
"New London County","09011","2009","Number","Housing Permits",427
"New London County","09011","2009","Percent","Housing Permits",11.3
"New London County","09011","2010","Number","Housing Permits",344
"New London County","09011","2010","Percent","Housing Permits",8.7
"New London County","09011","2011","Number","Housing Permits",209
"New London County","09011","2011","Percent","Housing Permits",6.6
"New London County","09011","2012","Number","Housing Permits",291
"New London County","09011","2012","Percent","Housing Permits",6.2
"New London County","09011","2013","Number","Housing Permits",372
"New London County","09011","2013","Percent","Housing Permits",6.9
"New London County","09011","2014","Number","Housing Permits",646
"New London County","09011","2014","Percent","Housing Permits",12.1
"New London County","09011","2015","Number","Housing Permits",531
"New London County","09011","2015","Percent","Housing Permits",8.7
"New London County","09011","2016","Number","Housing Permits",330
"New London County","09011","2016","Percent","Housing Permits",6
"New London County","09011","2017","Number","Housing Permits",295
"New London County","09011","2017","Percent","Housing Permits",6.5
"Tolland County","09013","1990","Number","Housing Permits",358
"Tolland County","09013","1990","Percent","Housing Permits",4.4
"Tolland County","09013","1991","Number","Housing Permits",397
